real_name,screen_name,party_id,most_recent_chamber,date_of_birth,gender,repr_state,race,date_of_first_federal_assignment,date_of_last_federal_assignment,years_in_office_2020,white_non_white
Dennis Cardoza,RepCardoza,D,House,31-Mar-59,M,California,White,2003,2012,9,White
William L Clay Jr,LacyClayMO1,D,House,27-Jul-56,M,Missouri,Black,2001,2020,19,Non-White
Ileana Ros-Lehtinen,RosLehtinen,R,House,15-Jul-52,F,Florida,Hispanic,1989,2019,30,Non-White
Rob Portman,senrobportman,R,Senate,19-Dec-55,M,Ohio,White,2011,2020,9,White
Mike Thompson,RepThompson,D,House,24-Jan-51,M,California,White,1999,2020,21,White
Donna Edwards,repdonnaedwards,D,House,28-Jun-58,F,Maryland,Black,2008,2017,9,Non-White
Ed Markey,SenMarkey,D,Senate,11-Jul-46,M,Massachusetts,White,2013,2020,7,White
Steny H Hoyer,WhipHoyer,D,House,14-Jun-39,M,Maryland,White,1981,2020,39,White
Orrin G. Hatch,senorrinhatch,R,Senate,22-Mar-34,M,Utah,White,1977,2019,42,White
Jeff Merkley,SenJeffMerkley,D,Senate,24-Oct-56,M,Oregon,White,2009,2020,11,White
James P. McGovern,RepMcGovern,D,House,20-Nov-59,M,Massachusetts,White,1997,2020,23,White
Don Norcross,DonaldNorcross,D,House,13-Dec-58,M,New Jersey,White,2014,2020,6,White
Mike Quigley,RepMikeQuigley,D,House,17-Oct-58,M,Illinois,White,2009,2020,11,White
Allen West,AllenWest,R,House,7-Feb-61,M,Florida,Black,2011,2013,2,Non-White
Frederica Wilson,RepWilson,D,House,5-Nov-42,F,Florida,Black,2011,2020,9,Non-White
Carolyn B. Maloney,RepMaloney,D,House,19-Feb-46,F,New York,White,1993,2020,27,White
Glenn Thompson,CongressmanGT,R,House,27-Jul-59,M,Pennsylvania,White,2009,2020,11,White
Yvette D. Clarke,RepYvetteClarke,D,House,21-Nov-64,F,New York,Black,2007,2020,13,Non-White
Adam Kinzinger,RepKinzinger,R,House,27-Feb-78,M,Illinois,White,2011,2020,9,White
Nanette Barragan,RepBarragan,D,House,15-Sep-76,F,California,Hispanic,2017,2020,3,Non-White
Will Hurd,HurdOnTheHill,R,House,19-Aug-77,M,Texas,Black,2015,2020,5,Non-White
Mark Udall,MarkUdall,D,Senate,18-Jul-50,M,Colorado,White,1999,2015,16,White
Bradley Byrne,RepByrne,R,House,16-Feb-55,M,Alabama,White,2014,2020,6,White
Charles B. Rangel,cbrangel,D,House,11-Jun-30,M,New York,Black,1971,2017,36,Non-White
Frank Pallone Jr,FrankPallone,D,House,30-Oct-51,M,New Jersey,White,1988,2020,32,White
Dina Titus,repdinatitus,D,House,23-May-50,F,Nevada,White,2009,2020,9,White
Joyce Beatty,RepBeatty,D,House,12-Mar-50,F,Ohio,Black,2013,2020,7,Non-White
Joseph Crowley,repjoecrowley,D,House,16-Mar-62,M,New York,White,1999,2019,20,White
Patrick Leahy,SenatorLeahy,D,Senate,31-Mar-40,M,Vermont,White,1975,2020,45,White
Tammy Baldwin,SenatorBaldwin,D,Senate,11-Feb-62,F,Wisconsin,White,1999,2020,21,White
Geoff Davis,RepGeoffDavis,R,House,26-Oct-58,M,Kentucky,White,2005,2012,7,White
Eric Swalwell,RepSwalwell,D,House,16-Nov-80,M,California,White,2013,2020,7,White
Charles E. Schumer,SenSchumer,D,Senate,23-Nov-50,M,New York,White,1981,2020,39,White
David Young,RepDavidYoung,R,House,11-May-68,M,Iowa,Black,2015,2019,4,Non-White
Nydia M Velazquez,NydiaVelazquez,D,House,28-Mar-53,F,New York,Hispanic,1993,2020,27,Non-White
Ben Cardin,SenatorCardin,D,Senate,5-Oct-43,M,Maryland,White,1987,2020,33,White
Nancy Pelosi,NancyPelosi,D,House,26-Mar-40,F,California,White,1987,2020,33,White
Paul Tonko,RepPaulTonko,D,House,18-Jun-49,M,New York,White,2009,2020,11,White
Mark Kirk,SenatorKirk,R,Senate,15-Sep-59,M,Illinois,White,2001,2017,16,White
Barbara Lee,RepBarbaraLee,D,House,16-Jul-46,F,California,Black,1998,2020,22,Non-White
Alma Adams,RepAdams,D,House,27-May-46,F,North Carolina,Black,2014,2020,6,Non-White
Renee Ellmers,RepReneeEllmers,R,House,9-Feb-64,F,North Carolina,White,2011,2017,6,White
Susan Brooks,SusanWBrooks,R,House,25-Aug-60,F,Indiana,White,2013,2020,,White
Lois J. Frankel,RepLoisFrankel,D,House,16-May-48,F,Florida,White,2013,2020,7,White
John McCain,SenJohnMcCain,R,Senate,29-Aug-36,M,Arizona,White,1987,2018,31,White
Brenda Lawrence,RepLawrence,D,House,18-Oct-54,F,Michigan,Black,2015,2020,5,Non-White
Ted Lieu,RepTedLieu,D,House,29-Mar-69,M,California,Asian,2015,2020,5,Non-White
Bruce Westerman,RepWesterman,R,House,18-Nov-67,M,Arkansas,White,2015,2020,5,White
Neil Abercrombie,neilabercrombie,D,House,26-Jun-38,M,Hawaii,White,1991,2010,19,White
Ted Cruz,SenTedCruz,R,Senate,22-Dec-70,M,Texas,Hispanic,2013,2020,7,Non-White
Paul Ryan,SpeakerRyan,R,House,29-Jan-70,M,Wisconsin,White,1999,2019,20,White
Billy Long,USRepLong,R,House,11-Aug-55,M,Missouri,White,2011,2020,9,White
Bonnie Coleman,RepBonnie,D,House,6-Feb-45,F,New Jersey,Black,2015,2020,5,Non-White
Kathy Castor,USRepKCastor,D,House,20-Aug-66,F,Florida,White,2007,2020,13,White
Richard Blumenthal,SenBlumenthal,D,Senate,13-Feb-46,M,Connecticut,White,2011,2020,9,White
Michelle Lujan Grisham,RepLujanGrisham,D,House,24-Oct-59,F,New Mexico,White,2013,2019,6,White
Seth Moulton,teammoulton,D,House,24-Oct-78,M,Massachusetts,White,2015,2020,5,White
Kirsten Gillibrand,SenGillibrand,D,Senate,9-Dec-66,F,New York,White,2007,2020,13,White
Mitch McConnell,senatemajldr,R,Senate,20-Feb-42,M,Kentucky,White,1985,2020,35,White
Scott Peters,RepScottPeters,D,House,17-Jun-58,M,California,White,2013,2020,7,White
John Boehner,SpeakerBoehner,R,House,17-Nov-49,M,Ohio,White,1991,2015,24,White
Marco Rubio,marcorubio,R,House,28-May-71,M,Florida,Hispanic,2011,2020,9,Non-White
Marcia L Fudge,RepMarciaFudge,D,House,29-Oct-52,F,Ohio,Black,2008,2020,12,Non-White
Jim Langevin,JimLangevin,D,House,22-Apr-64,M,Rhode Island,White,2001,2020,19,White
Don Bacon,RepDonBacon,R,House,16-Aug-63,M,Nebraska,White,2017,2020,3,White
Tom Udall,SenatorTomUdall,D,Senate,18-May-48,M,New Mexico,White,2009,2020,11,White
Grace Meng,RepGraceMeng,D,House,1-Oct-75,F,New York,Asian,2013,2020,7,Non-White
Jon Tester,SenatorTester,D,Senate,21-Aug-56,M,Montana,White,2007,2020,13,White
Mario Diaz-Balart,MarioDB,R,House,25-Sep-61,M,Florida,White,2003,2020,17,White
Robert Menendez,SenatorMenendez,D,Senate,1-Jan-54,M,New Jersey,Hispanic,1993,2020,27,Non-White
Gregory W Meeks,RepGregoryMeeks,D,House,25-Sep-53,M,New York,Black,1998,2020,22,Non-White
Jan Schakowsky,janschakowsky,D,House,26-May-44,F,Illinois,White,1999,2020,21,White
Dean Heller,SenDeanHeller,R,Senate,10-May-60,M,Nevada,White,2007,2019,12,White
Joaquin Castro,JoaquinCastrotx,D,House,16-Sep-74,M,Texas,Hispanic,2013,2020,7,Non-White
Tim Huelskamp,CongHuelskamp,R,House,11-Nov-68,M,Kansas,White,2011,2017,6,White
Ron Wyden,RonWyden,D,Senate,3-May-49,M,Oregon,White,1981,2020,39,White
Lee Terry,LEETERRYNE,R,House,29-Jan-62,M,Nebraska,White,1999,2015,16,White
Dick Durbin,SenatorDurbin,D,House,21-Nov-44,M,Illinois,White,1983,2020,37,White
Charlie Crist,RepCharlieCrist,D,House,24-Jul-56,M,Florida,White,2017,2020,3,White
Pete Olson,RepPeteOlson,R,House,9-Dec-62,M,Texas,White,2009,2020,11,White
Katherine Clark,RepKClark,D,House,17-Jul-63,F,Massachusetts,White,2013,2020,7,White
Dianne Feinstein,SenFeinstein,D,Senate,22-Jun-33,F,California,White,1992,2020,28,White
Dan Kildee,RepDanKildee,D,House,11-Aug-58,M,Michigan,White,2013,2020,7,White
Elijah E. Cummings,RepCummings,D,House,18-Jan-51,M,Maryland,Black,1996,2019,23,Non-White
Cathy McMorris Rodgers,cathymcmorris,R,House,22-May-69,F,Washington,White,2005,2020,15,White
Deb Fischer,SenatorFischer,R,Senate,1-Mar-51,F,Nebraska,White,2013,2020,7,White
Shelley Moore Capito,SenCapito,R,Senate,26-Nov-53,F,West Virginia,White,2001,2020,19,White
Bob Goodlatte,RepGoodlatte,R,House,22-Sep-52,M,Virginia,White,1993,2019,26,White
Suzan DelBene,RepDelBene,D,House,17-Feb-63,F,Washington,White,2012,2020,8,White
Bruce Braley,BruceBraley,D,House,30-Oct-57,M,Iowa,White,2007,2015,8,White
Sam Graves,RepSamGraves,R,House,7-Nov-63,M,Missouri,White,2001,2020,19,White
Diane Black,RepDianeBlack,R,House,16-Jan-51,M,Tennessee,White,2011,2019,8,White
Roy Blunt,RoyBlunt,R,Senate,10-Jan-50,M,Missouri,White,1997,2020,23,White
Gwen Moore,RepGwenMoore,D,House,18-Apr-51,M,Wisconsin,Black,2005,2020,15,Non-White
Ruben Gallego,RepRubenGallego,D,House,20-Nov-79,M,Arizona,White,2011,2020,9,White
Richard Hudson,RepRichHudson,R,House,4-Nov-71,M,North Carolina,White,2013,2020,7,White
Lucille Roybal-Allard,RepRoybalAllard,D,House,12-Jun-41,F,California,White,1993,2020,27,White
Steve Womack,rep_stevewomack,R,House,18-Feb-57,M,Arkansas,White,2011,2020,9,White
Ted Deutch,RepTedDeutch,D,House,7-May-66,M,Florida,White,2010,2020,10,White
Patty Murray,PattyMurray,D,Senate,11-Oct-54,F,Washington,White,1993,2020,27,White
John Cornyn,JohnCornyn,R,Senate,2-Feb-52,M,Texas,White,2002,2020,18,White
Diana DeGette,RepDianaDeGette,D,House,29-Jul-57,F,Colorado,White,1997,2020,23,White
Jack Reed,SenJackReed,D,Senate,12-Nov-49,M,Rhode Island,White,1991,2020,29,White
Tim Scott,SenatorTimScott,R,Senate,19-Sep-65,M,South Carolina,Black,2011,2020,9,Non-White
Heidi Heitkamp,SenatorHeitkamp,D,Senate,30-Oct-55,F,North Dakota,White,2013,2020,7,White
Fred Upton,RepFredUpton,R,House,23-Apr-53,M,Michigan,White,1987,2020,33,White
Jerrold Nadler,RepJerryNadler,D,House,13-Jun-47,M,New York,White,1992,2020,28,White
Claire McCaskill,McCaskillOffice,D,Senate,24-Jul-53,F,Missouri,White,2007,2019,12,White
G. K. Butterfield,GKButterfield,D,House,27-Apr-47,M,North Carolina,White,2004,2020,16,White
Brian M Higgins,RepBrianHiggins,D,House,6-Oct-59,M,New York,White,2005,2020,15,White
Emanuel Cleaver,repcleaver,D,House,26-Oct-44,M,Missouri,Black,2005,2020,15,Non-White
Pat Roberts,SenPatRoberts,R,Senate,20-Apr-36,M,Kansas,White,1997,2020,23,White
Donald M Payne Jr.,RepDonaldPayne,D,House,17-Dec-58,M,New Jersey,Black,2012,2020,8,Non-White
Louis B. Gohmert Jr,replouiegohmert,R,House,18-Aug-53,M,Texas,White,2005,2020,15,White
Norma Torres,NormaJTorres,D,House,4-Apr-65,F,California,Hispanic,2015,2020,5,Non-White
Kyrsten Sinema,SenatorSinema,D,House,12-Jul-76,M,Arizona,White,2013,2020,7,White
Carlos Curbelo,RepCurbelo,R,House,1-Mar-80,M,Florida,White,2015,2019,4,White
Tom Carper,SenatorCarper,D,Senate,23-Jan-47,M,Delaware,White,2001,2020,19,White
James Lankford,SenatorLankford,R,Senate,4-Mar-68,M,Texas,White,2011,2020,9,White
Thom Tillis,SenThomTillis,R,Senate,30-Aug-60,M,North Carolina,White,2015,2020,5,White
Richard Hanna,RepRichardHanna,R,House,25-Jan-51,M,New York,White,2011,2017,6,White
Tony Cardenas,RepCardenas,D,House,31-Mar-63,M,California,Hispanic,2013,2020,7,Non-White
Sheldon Whitehouse,SenWhitehouse,D,Senate,20-Oct-55,M,Rhode Island,White,2007,2020,13,White
David Perdue,sendavidperdue,R,Senate,10-Dec-49,M,Georgia,White,2015,2020,5,White
Vicky Hartzler,RepHartzler,R,House,13-Oct-60,F,Missouri,White,2011,2020,9,White
